1.疏水参数计算参考值（XlogP）,10.同位素原子数量,11.确定原子立构中心数量,12.不确定原子立构中心数量,13.确定化学键立构中心数量,14.不确定化学键立构中心数量,15.共价键单元数量,2.氢键供体数量,3.氢键受体数量,4.可旋转化学键数量,5.互变异构体数量,6.拓扑分子极性表面积,7.重原子数量,8.表面电荷,9.复杂度,LogP,PSA,RTECS号,Summary,WGK德国,不确定化学键立构中心数量,不确定原子立构中心数量,个人防护装备,中文别名,中文名,中文概述,互变异构体数量,体内研究,体外研究,信号词,储存条件,共价键单元数量,分子式,分子结构,分子量,动物实验,包装等级,危害声明,危害码 (欧洲),危险品运输编码,危险类别,参考文献,可旋转化学键数量,同位素原子数量,复杂度,外观性状,安全声明 (欧洲),密度,折射率,拓扑分子极性表面积（TPSA）,描述,更多,检验检疫,氢键供体数量,氢键受体数量,水溶解性,沸点,海关编码,熔点,申报要素,疏水参数计算参考值（XlogP）,监管条件,相关类别,确定化学键立构中心数量,确定原子立构中心数量,稳定性,符号,精确质量,细胞实验,英文别名,英文名,药物名称,蒸汽压,表面电荷,警示性声明,计算化学,重原子数量,闪点,靶点,风险声明 (欧洲)
,,,,,,,,,,,,,,,3.71,80.92000,UX1750000,"2907299090 polyphenols; phenol-alcohols。supervision conditions:AB(certificate of inspection for goods inward,certificate of inspection for goods outward)。VAT:17.0%。tax rebate rate:9.0%。MFN tariff:5.5%。general tariff:30.0%",3,0,2,dust mask type N95 (US);Eyeshields;Gloves,"正二氢愈创酸|双(3,4-二羟基)-2,3-二甲基丁烷|4,4'-(2,3-二甲-1,4-丁二基)雙(1,2-苯二酚)|4,4'-(2,3-二甲基四亚甲基)二邻苯二酚|降二氢愈创木酸|4,4'-(2,3-二甲-1,4-丁二基)双(1,2-苯二酚)",去甲二氢愈创木酸,"2907299090 其他多元酚，酚醇。监管条件:AB(入境货物通关单,出境货物通关单)。增值税率:17.0%。退税率:9.0%。最惠国关税:5.5%。普通关税:30.0%",171,"与对照ob/ob食物组相比,在高剂量去甲二氢愈创木酸(NDGA)饮食组中从9周处理开始,并且在低剂量组中从12周开始,体重显着降低。 Nordihydhyduauaiaretic acid治疗导致ob/ob小鼠的体温(直肠)温度升高,尤其是高剂量的Nordihydroguaiaretic acid [3]。","天然的二儿茶酚二氢愈创木酸(NDGA)是来自杂酚油植物(Larrea tridentata：Zygophyllaceae)的选择性5LOX抑制剂。抑制5LOX的天然二儿茶酚去甲二氢愈创木酸是TNFα刺激的小胶质细胞激活的非常有效的无毒拮抗剂。 Nordihydhydroguaiaretic acid的体外效力约为米诺环素的6倍,IC50值为8±3μM,100μM时无毒性。在800nM的去甲二氢愈创木酸中观察到显着的NO 2 -抑制。对于天然和合成的去甲二氢愈创木酸以及去甲二氢愈创木酸的乙酰酯,观察到类似的功效。 Nordihydhydroguaiaretic acid还抑制TNFα刺激的EOC-20细胞产生PGE2,IC50为841 nM [1]。为了测试前列腺素E1和去甲二氢愈创木酸(NDGA)对癌细胞系的增殖作用,HepG2细胞系用各种方法治疗。通过MTT测定检查两种化合物和阳性化合物8-苯胺基-1-萘磺酸盐(ANS)的剂量,持续24小时和细胞活力。 ANS显示剂量依赖性抑制(0,10,30,50,100,100,120和150μM),估计的IC 50为25.888μM。在0,30,60,80,100,120和140μM的不同浓度下,前列腺素E1的测试IC50分别为41.223μM和去甲二氢愈创木酸为45.646μM[2]。",Warning,-20°C密封保存，放置在通风，干燥的环境中,1,C18H22O4,1、 摩尔折射率： 86.262、 摩尔体积（m3/mol）：243.43、 等张比容（90.2K）：669.94、 表面张力（dyne/cm）：57.35、 极化率（10-24cm3）：34.19,302.365,小鼠[3]使用7周龄雄性对照C57BL / 6J小鼠，雄性瘦蛋白缺陷型（ob / ob）小鼠和雄性Pparα缺陷型突变小鼠（B6.129S4-Pparatm1Gonz / J）。给这些小鼠喂食标准食物饲料1周，使它们适应受控的新环境（25±2℃，55±5％相对湿度，12小时光暗循环）。随后，将一组ob / ob小鼠改为补充低 - （0.83g / kg食物饮食）或高剂量（2.5g / kg食物饮食）去甲二氢愈创木酸的食物，并在该饮食中维持16周。其他组的ob / ob小鼠和对照小鼠继续喂食正常的饲料，持续16周。在另一组研究中，C57BL / 6J小鼠和Pparα缺陷型突变小鼠喂食高脂肪饮食（约占总热量的60％来自脂肪），或同样的高脂肪饮食补充高剂量的Nordihydroguauaretic酸（2.5克/千克饮食）。在整个实验过程中每周测量一次食物摄取和体重。,,H302-H315-H319-H335,Xn:Harmful;,NONH for all modes of transport,,"[1].West M, et al. The arachidonic acid 5-lipoxygenase inhibitor Nordihydroguaiaretic acid inhibits tumor necrosis factor alpha activation of microglia and extends survival of G93A-SOD1 transgenic mice. J Neurochem. 2004 Oct;91(1):133-43.[2].Lu F, et al. Virtual Screening for Potential Allosteric Inhibitors of Cyclin-Dependent Kinase 2 from Traditional Chinese Medicine. Molecules. 2016 Sep 21;21(9). pii: E1259.[3].Zhang H, et al. Nordihydroguaiaretic acid improves metabolic dysregulation and aberrant hepatic lipid metabolism in mice by both PPARα-dependent and -independent pathways. Am J Physiol Gastrointest Liver Physiol. 2013 Jan 1;304(1):G72-86.",5,0,303,白色至灰白色粉末,S26-S37/39,1.2±0.1 g/cm3,1.627,80.9,Nordihydroguaiaretic acid 是一种 5-脂氧合酶 (5LOX) (IC50=8±3 μM) 和酪氨酸激酶抑制剂。,"1. 性状：白色至灰白色结晶性粉末2. 密度（g/ m3,25/4℃）：未确定3. 相对蒸汽密度（g/cm3,空气=1）：未确定4. 熔点（ºC）：183-1855. 沸点（ºC,常压）：未确定6. 沸点（ºC,5.2kPa）：未确定7. 折射率：未确定8. 闪点（ºF）：未确定9. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：难溶于水",R.进口食品卫生监督检验 S.出口食品卫生监督检验 M.进口商品检验 N.出口商品检验,4,4,slightly soluble,526.5±45.0 °C at 760 mmHg,2907299090,184-189ºC,"品名, 成分含量, 用途",4.3,A.入境货物通关单 B.出境货物通关单,信号通路>>代谢酶/蛋白酶>>5脂氧合酶信号通路>>自噬>>自噬研究领域>>癌症研究领域>>神经疾病天然产物>>苯丙酸类,0,0,按规格使用和贮存，不会发生分解，避免与氧化物接触,GHS07,302.151794,"MTT测定用于测量HepG2细胞系中所选择的最有希望的化合物的细胞生长抑制活性。将细胞以1×10 4个细胞/孔在96孔培养板中培养。在37℃，5％CO 2气氛中培养24小时后，将细胞粘附并用不同浓度的目标化合物（例如，去甲二氢愈创木酸，0,30,60,80,100,120和140μM）处理。并孵育24小时。然后，弃去上清液并向每个孔中加入MTT（0.5mg / mL）并在37℃，5％CO 2中再孵育4小时。然后，除去MTT并加入150μL甲硫酸的DMSO终止反应，然后将板在低速下放置在台式振荡器中5分钟。通过使用ELISA Plate Reader测量570nm处的吸光度来评估细胞增殖。 IC50值由SPSS统计17.0 [2]计算。",更多,nordihydroguaiaretic acid,500-38-9,0.0±1.4 mmHg at 25°C,0,P261-P305 + P351 + P338,1、 疏水参数计算参考值（XlogP）：4.32、 氢键供体数量：43、 氢键受体数量：44、 可旋转化学键数量：55、 互变异构体数量：1716、 拓扑分子极性表面积（TPSA）：80.97、 重原子数量：228、 表面电荷：09、 复杂度：30310、 同位素原子数量：011、 确定原子立构中心数量：012、 不确定原子立构中心数量：213、 确定化学键立构中心数量：014、 不确定化学键立构中心数量：015、 共价键单元数量：1,22,247.8±23.3 °C,IC50: 8±3 μM (5LOX)[1],R22;R36/37/38
无,0,0,1,0,0,1,3,6,4,无,,11,0,227,-2.26,126.07000,EK7713877,"HS:2922499990 other amino-acids, other than those containing more than one kind of oxygen function, and their esters; salts thereof VAT:17.0% Tax rebate rate:9.0% Supervision conditions:AB(certificate of inspection for goods inward,certificate of inspection for goods outward) MFN tariff:6.5% General tariff:30.0%",,,,,DL-磺基丁氨酸|DL-2-氨基-4-磺基丁酸|磺基高丙氨酸|DL-同磺丙氨酸,DL-高磺基丙氨酸,"2922499990 其他氨基酸及其酯及它们的盐（含有一种以上含氧基的除外）. 增值税率:17.0% 退税率:9.0% 监管条件:AB(入境货物通关单,出境货物通关单) 最惠国关税:6.5% 普通关税:30.0%",,,"氨基酸和氨基酸衍生物已被商业化用作能量补充剂。它们影响合成代谢激素的分泌、运动期间的燃料供应、压力相关任务期间的精神表现,并防止运动引起的肌肉损伤。它们被认为是有益的能生膳食物质[1]。",,密封保存，放置在通风，干燥的环境中,,C4H9NO5S,1、 摩尔折射率：36.162、 摩尔体积（m3/mol）：111.73、 等张比容（90.2K）：339.44、 表面张力（dyne/cm）：85.05、 极化率（10-24cm3）：14.33,183.183,,,,,NONH for all modes of transport,,"[1].Luckose F, et al. Effects of amino acid derivatives on physical, mental, and physiological activities. Crit Rev Food Sci Nutr. 2015;55(13):1793-1100.",,,,白色结晶粉末,S24/25,1.6±0.1 g/cm3,1.560,,2-氨基-4-磺酸是丙氨酸衍生物[1]。,"1. 性状：未确定2. 密度（g/ cm3,25/4℃）：未确定3. 相对蒸汽密度（g/cm3,空气=1）：未确定4. 熔点（ºC）：2735. 沸点（ºC,常压）：未确定6. 沸点（ºC,5.2kPa）：未确定7. 折射率：未确定8. 闪点（ºF）：未确定9. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：未确定",P.进境动植物、动植物产品检疫 Q.出境动植物、动植物产品检疫 R.进口食品卫生监督检验 S.出口食品卫生监督检验 M.进口商品检验 N.出口商品检验,,,,,2922499990,273 °C,"品名, 成分含量, 用途, 乙醇胺及其盐应报明色度, 乙醇胺及其盐应报明包装",,A.入境货物通关单 B.出境货物通关单,研究领域>>其他信号通路>>其他>>其他,,,按规格使用和贮存，不会发生分解，避免与氧化物接触,,183.020142,,更多,dl-homocysteic acid,504-33-6,,,,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:33.氢键受体数量:64.可旋转化学键数量:45.互变异构体数量:无6.拓扑分子极性表面积1267.重原子数量:118.表面电荷:09.复杂度:22710.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:113.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,,,36/37/38
9.6,0,0,2,0,0,1,0,0,13,无,,20,0,249,7.16770,,,,,,,,,新植二烯,,,"新植二烯(50 mg/kg；p、 o.)显示丙氨酸转氨酶(ALT)水平呈剂量依赖性降低[1]。新植二烯(25-50 mg/kg；p、 o.)显著降低LPS(10 mg/kg)-增加的IL6和1L10水平以及心脏组织[1]。新植二烯(25-50 mg/kg；p、 o.)显著降低LPS(10 mg/kg)-增加的心脏组织PGE2mRNA表达[1]。新植二烯显著抑制LPS(10mg/kg)诱导的NO生成和炎性细胞因子TNF-α, IL-6和IL-10以及IL-10在体内的作用[1]。动物模型：成年雄性Sprague-Dawley大鼠(6-8周)[1]剂量：12mg/kg、25mg/kg、50mg/kg给药：口服,每日,连续7天。结果：血红蛋白(HGB)、丙氨酸转氨酶(ALT)和心肌组织肿瘤坏死因子(TNF)水平下降-α, 白细胞介素1β, 纳法-κB、 LPS(10mg/kg)治疗大鼠的iNOS、PI3k/akt和mapk。","新植二烯对RAW 264.7细胞具有细胞毒性,IC50为50μM[1]。新植二烯(50-100μ米；30分钟)成功抑制LPS(1)中NO产生水平和诱导型一氧化氮合酶(iNOS)产生下调μg/mL)诱导的RAW264.7细胞[1]。新植二烯(25-100μ米；22小时)显著抑制NO产生和炎性细胞因子TNF-α, LPS中IL-6、IL-10和IL-10(1)μg/mL)诱导的RAW264.7细胞[1]。",,20°C,,C20H38,,278.51600,,,,,,,"[1].Meenakshi Bhardwaj, et al. Neophytadiene from Turbinaria ornata Suppresses LPS-Induced Inflammatory Response in RAW 264.7 Macrophages and Sprague Dawley Rats. Inflammation. 2020 Jun;43(3):937-950.",,,,,,0.796g/cm3,1.449,,"Neophytadiene 是一种二萜,能从 Turbinaria ornate 中提取到,具有抗炎、抗氧化和心脏保护作用。",1. 沸点（ºC）：128(66.65pa)2.相对密度(d204)：0.8019,,,,,344.5ºC at 760mmHg,,,,,,研究领域>>心血管疾病信号通路>>其他>>其他研究领域>>炎症/免疫,,,1. 存在于烟叶、烟气中。,,278.29700,,更多,"7,11,15-trimethyl-3-methylidenehexadec-1-ene",504-96-1,,,,1.疏水参数计算参考值（XlogP）:9.62.氢键供体数量:03.氢键受体数量:04.可旋转化学键数量:135.互变异构体数量:无6.拓扑分子极性表面积07.重原子数量:208.表面电荷:09.复杂度:24910.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:213.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,160.2ºC,,
无,0,0,0,0,0,1,2,3,11,无,57.5,15,0,146,2.96430,57.53000,,"2918199090 other carboxylic acids with alcohol function but without other oxygen function, their anhydrides, halides, peroxides, peroxyacids and their derivatives。Supervision conditions:None。VAT:17.0%。Tax rebate rate:9.0%。MFN tariff:6.5%。General tariff:30.0%",,,,Eyeshields;Gloves;type N95 (US);type P1 (EN143) respirator filter,端羟基十二酸|12-羟基月桂酸|端羟基12酸,12-羟基十二酸,HS: 2918199090. 其他含醇基但不含其他含氧基羧酸（包括其酸酐、酰卤化物、过氧化物和过氧酸及该税号的衍生物）. 增值税率:17.0%. 退税率:9.0%. 监管条件:无. 最惠国关税:6.5%. 普通关税:30.0%,,,,,室温，干燥,,C12H24O3,,216.31700,,,,,NONH for all modes of transport,,,,,,白色至灰白色粉末,22-24/25,0.988g/cm3,1.467,,,,,,,,359.2ºC at 760 mmHg,2918199090,85-88ºC(lit.),"品名, 成分含量, 用途",,,,,,,,216.17300,,更多,12-Hydroxydodecanoic acid,505-95-3,,,,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:23.氢键受体数量:34.可旋转化学键数量:115.互变异构体数量:无6.拓扑分子极性表面积:57.57.重原子数量:158.表面电荷:09.复杂度:14610.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,185.2ºC,,
无,0,0,0,0,0,1,1,1,22,无,,25,0,214,11.50,20.23000,,2905199090. saturated monohydric alcohols. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:5.5%. General tariff:30.0%,-,,,Eyeshields;Gloves;type N95 (US);type P1 (EN143) respirator filter,二十四醇|1-二十四醇|木蜡醇,二十四烷醇,2905199090. 其他饱和一元醇. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:5.5%. 普通关税:30.0%,,,,,密封保存，放置在通风，干燥的环境中,,C24H50O,1、 摩尔折射率：114.772、 摩尔体积（cm3/mol）：422.23、 等张比容（90.2K）：1003.74、 表面张力（dyne/cm）：31.95、 极化率（10-24cm3）：45.49,354.653,,,,,NONH for all modes of transport,,,,,,固体;White to Light yellow powder to crystal,S22-S24/25,0.8±0.1 g/cm3,1.456,,"木酚是一种生物化学试剂,可作为生物材料或有机化合物进行生命科学相关研究。","1. 性状：未确定2. 密度（g/ cm3,25/4℃）：0.8393. 相对蒸汽密度（g/cm3,空气=1）：未确定4. 熔点（ºC）：75-775. 沸点（ºC,常压）：210(53.32pa)6. 沸点（ºC,8kPa）：未确定7. 折射率：未确定8. 闪点（ºC）：141.79. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：未确定",,,,水溶性：不溶,394.5±5.0 °C at 760 mmHg,2905199090,75-77 °C,"品名, 成分含量, 用途, 包装",,,研究领域>>其他,,,1.按规格使用和贮存，不会发生分解，避免与氧化物接触.2.存在于烟叶、烟气中。,,354.386169,,更多,tetracosan-1-ol,506-51-4,0.0±2.1 mmHg at 25°C,,,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:13.氢键受体数量:14.可旋转化学键数量:225.互变异构体数量:无6.拓扑分子极性表面积20.27.重原子数量:258.表面电荷:09.复杂度:21410.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,141.7±5.2 °C,,
,,,,,,,,,,,,,,,5.47,66.76000,,"2918990090. other carboxylic acids with additional oxygen function and their anhydrides, halides, peroxides and peroxyacids; their halogenated, sulphonated, nitrated or nitrosated derivatives. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:6.5%. General tariff:30.0%",3,,,,替拉曲可,替拉曲考,2918990090. 其他含其他附加含氧基羧酸（包括酸酐、酰卤化物、过氧化物和过氧酸及该税号的衍生物）. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:6.5%. 普通关税:30.0%,,,,Warning,-20°C,,C14H9I3O4,,621.932,,,H302-H312-H332,Xn: Harmful;,NONH for all modes of transport,,,,,,,36,2.5±0.1 g/cm3,1.767,,"Tiratricol是甲状腺激素类似物, 已被用来抑制垂体促甲状腺激素分泌, 降低垂体外拟甲状腺素药效。",,,,,,531.6±50.0 °C at 760 mmHg,2918990090,181.5ºC,"品名, 成分含量, 用途",,,信号通路>>其他>>甲状腺激素受体研究领域>>内分泌,,,,GHS07,621.763489,,更多,"2-[4-(4-hydroxy-3-iodophenoxy)-3,5-diiodophenyl]acetic acid",51-24-1,0.0±1.5 mmHg at 25°C,,P280,,,275.3±30.1 °C,,R20/21/22
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,51-57-0,,,,,,,,
无,0,0,0,0,0,1,2,4,0,26,,14,0,284,2.08,70.67000,GN6384500,2932209090. other lactones. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:6.5%. General tariff:20.0%,2,,,,"6,7-二羟基-4-甲基香豆素|4-甲基七叶亭",4-甲基七叶苷原,2932209090. 其他内酯. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:6.5%. 普通关税:20.0%,,,,,储存于阴凉、干燥、通风良好的库房。远离火种、热源。防止阳光直射。包装密封。应与酸类、食用化学品分开存放，切忌混储。储区应备有合适的材料收容泄漏物。,,C10H8O4,1、 摩尔折射率：48.232、 摩尔体积（m3/mol）：131.93、 等张比容（90.2K）：372.44、 表面张力（dyne/cm）：63.45、 极化率（10-24cm3）：19.12,192.168,,,,Xi: Irritant;,,,"[1].Witaicenis A, et al. 4-methylesculetin, a coumarin derivative, ameliorates dextran sulfate sodium-induced intestinal inflammation. Chem Biol Interact. 2018 Jan 25;280:59-63.",,,,黄色针状晶体,S26-S36,1.5±0.1 g/cm3,1.652,,"4-Methylesculetin 是一种可口服的天然香豆素衍生物,具有有效的抗氧化、抗炎活性。4-Methylesculetin 可抑制 myeloperoxidase 的活性,降低 IL-6 的水平","1. 性状：黄色针状结晶2. 密度（g/ cm3,25/4℃）：未确定3. 相对蒸汽密度（g/cm3,空气=1）：未确定4. 熔点（ºC）：272-2745. 沸点（ºC,常压）：未确定6. 沸点（ºC,8kPa）：未确定7. 折射率：未确定8. 闪点（ºC）：未确定9. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,55.1ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：溶于热水、醇、乙酸、浓硫酸和稀碱",,,,DMF: soluble,455.5±45.0 °C at 760 mmHg,2932209090,274-276 °C(lit.),"品名, 成分含量, 用途",,,研究领域>>炎症/免疫,,,按规格使用和贮存，不会发生分解，避免与氧化物接触,,192.042252,,更多,4-methylesculetin,529-84-0,0.0±1.2 mmHg at 25°C,,,1.疏水参数计算参考值（XlogP）:无2.氢键供体数量:23.氢键受体数量:44.可旋转化学键数量:05.互变异构体数量:266.拓扑分子极性表面积66.87.重原子数量:148.表面电荷:09.复杂度:28410.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,190.8±22.2 °C,,R36/37/38
4.1,0,0,0,0,0,1,1,3,4,3,35.6,26,0,524,3.63880,41.03000,,2933990090. heterocyclic compounds with nitrogen hetero-atom(s) only. VAT:17.0%. Tax rebate rate:13.0%. . MFN tariff:6.5%. General tariff:20.0%,,,,,,苄哌立隆,2933990090. 其他仅含氮杂原子的杂环化合物. 增值税率:17.0%. 退税率:13.0%. 监管条件:无. 最惠国关税:6.5%. 普通关税:20.0%,,,,,通风低温干燥,,C22H25N3O,,347.45300,,,,,,,,,,,,,1.176g/cm3,1.618,,,,,,,,500.5ºC at 760 mmHg,2933990090,,"品名, 成分含量, 用途, 乌洛托品请注明外观, 6－己内酰胺请注明外观, 签约日期",,,,,,,,347.20000,,更多,Benzpiperilone,53-89-4,,,,1.疏水参数计算参考值（XlogP）:4.12.氢键供体数量:13.氢键受体数量:34.可旋转化学键数量:45.互变异构体数量:36.拓扑分子极性表面积:35.67.重原子数量:268.表面电荷:09.复杂度:52410.同位素原子数量:011.确定原子立构中心数量:012.不确定原子立构中心数量:013.确定化学键立构中心数量:014.不确定化学键立构中心数量:015.共价键单元数量:1,,256.5ºC,,
,,,,,,,,,,,,,,,1.14510,63.32000,,,,,,,,2-胺-4-氧亚砷苯酚盐酸盐,,,,,,"通风低温干燥,与库房食品原料分开存放",,C6H8AsClNO2,,236.50800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,235.94600,,更多,"2-amino-4-arsorosophenol,hydrochloride",538-03-4,,,,,,,,
,,,,,,,,,,,,,,,0.09090,37.30000,AF4550000,"2915299090 salts of acetic acid。supervision conditions:AB(certificate of inspection for goods inward,certificate of inspection for goods outward)。VAT:17.0%。tax rebate rate:9.0%。MFN tariff:5.5%。general tariff:50.0%",1,0,0,dust mask type N95 (US);Eyeshields;Gloves,醋酸钡,乙酸钡,"HS: 2915299090 其他乙酸盐 退税率:9.0% 监管条件:AB(入境货物通关单,出境货物通关单) 增值税率:17.0% 最惠国关税:5.5% 普通关税:50.0%",,,,Warning,本品应密封保存。,3,C2H4BaO2++,,255.415,,III,H302 + H332,Xn:Harmful,UN 1564,6.1,,0,0,25.5,白色固体,S28,2.46,,80.3,,"1. 性状：无色或白色结晶粉末。在110℃时失去水分。2. 密度（g/mL,25/4℃）：2.473. 相对蒸汽密度（g/mL,空气=1）：未确定4. 熔点（ºC）：未确定5. 沸点（ºC,常压）：未确定6. 沸点（ºC,5.2kPa）：未确定7. 折射率：未确定8. 闪点（ºC）：未确定9. 比旋光度（º）：未确定10. 自燃点或引燃温度（ºC）：未确定11. 蒸气压（kPa,25ºC）：未确定12. 饱和蒸气压（kPa,60ºC）：未确定13. 燃烧热（KJ/mol）：未确定14. 临界温度（ºC）：未确定15. 临界压力（KPa）：未确定16. 油水（辛醇/水）分配系数的对数值：未确定17. 爆炸上限（%,V/V）：未确定18. 爆炸下限（%,V/V）：未确定19. 溶解性：溶于水，微溶于乙醇，1g产品溶于1.5ml水和700ml乙醇中，水溶液对石蕊呈中性或微酸性反应。",R.进口食品卫生监督检验 S.出口食品卫生监督检验 M.进口商品检验 N.出口商品检验,0,4,soluble | 不同温度(℃)时每100毫升水中的溶解克数: 58.8g/0℃;62g/10℃;72g/20℃;75g/30℃;78.5g/40℃ 75g/60℃;74g/80℃;74.8g/100℃,117.1ºC at 760 mmHg,2915299090,450ºC,"品名, 成分含量, 用途",,A.入境货物通关单 B.出境货物通关单,,0,0,1.按规格使用和贮存，不会发生分解，避免与氧化物接触.2.易溶于水，不溶于乙醇。醋酸钡用水重结晶时，温度在24.7℃以下时析出晶体为三水合物。在24.7～41℃时析出晶体为一水合物。在41℃以上析出晶体为无水物。在0℃时，100g水可溶解醋酸钡59g。24.1℃时，100g水中可溶解醋酸钡78.1g。100℃时，100g水中可溶解醋酸钡75g。用作有机反应例如烯烃聚合催化剂。,GHS07,255.931854,,更多,Barium Acetate,543-80-6,,0,P261-P301 + P312 + P330,1、 疏水参数计算参考值（XlogP）：2、 氢键供体数量：03、 氢键受体数量：44、 可旋转化学键数量：05、 互变异构体数量：6、 拓扑分子极性表面积（TPSA）：80.37、 重原子数量：98、 表面电荷：09、 复杂度：25.510、 同位素原子数量：011、 确定原子立构中心数量：012、 不确定原子立构中心数量：013、 确定化学键立构中心数量：014、 不确定化学键立构中心数量：015、 共价键单元数量：3,9,40ºC,,R20/22
